geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
11	hsa04072	Phospholipase D signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04072+10161+109+112+113+1606+160851+1759+196883+2149+2205+2206+2549+26052+2846+2912+5154+5156+5159+5293+5321+5331+5335+5338+5900+6237+6464+8525+8527+9266+9267	130	30	13.2605163386893	2.26235534377127	1.18810401728009e-05	0.00029723245512614	10161;109;112;113;1606;160851;1759;196883;2149;2205;2206;2549;26052;2846;2912;5154;5156;5159;5293;5321;5331;5335;5338;5900;6237;6464;8525;8527;9266;9267	ADCY3;ADCY4;ADCY6;ADCY7;CYTH1;CYTH2;DGKA;DGKD;DGKH;DGKZ;DNM1;DNM3;F2R;FCER1A;GAB1;GRM2;LPAR4;LPAR6;MS4A2;PDGFA;PDGFRA;PDGFRB;PIK3CD;PLA2G4A;PLCB3;PLCG1;PLD2;RALGDS;RRAS;SHC1	pathway_KEGG
12	hsa05205	Proteoglycans in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05205+117581+1634+1655+1839+2064+2316+2318+2549+3082+3339+3480+3481+355+3673+3678+3688+3693+4060+4313+4609+4660+5293+5328+5329+5335+595+6237+6385+6714+7040+7057+7074+7291+7472+8323+857+9138+9475	183	38	18.6667268460011	2.03570772281058	1.19690921527305e-05	0.00029723245512614	117581;1634;1655;1839;2064;2316;2318;2549;3082;3339;3480;3481;355;3673;3678;3688;3693;4060;4313;4609;4660;5293;5328;5329;5335;595;6237;6385;6714;7040;7057;7074;7291;7472;8323;857;9138;9475	ARHGEF1;CAV1;CCND1;DCN;DDX5;ERBB2;FAS;FLNA;FLNC;FZD6;GAB1;HBEGF;HGF;HSPG2;IGF1R;IGF2;ITGA2;ITGA5;ITGB1;ITGB5;LUM;MMP2;MYC;PIK3CD;PLAU;PLAUR;PLCG1;PPP1R12B;ROCK2;RRAS;SDC4;SRC;TGFB1;THBS1;TIAM1;TWIST1;TWIST2;WNT2	pathway_KEGG
13	hsa05410	Hypertrophic cardiomyopathy (HCM)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05410+1756+22801+3569+3673+3678+3679+3680+3688+3691+3693+3696+4000+6443+7040+7043+7168+7169+7171+775+782+8516	77	21	7.8543058313775	2.67369267900241	1.72948990686539e-05	0.000396452301727605	1756;22801;3569;3673;3678;3679;3680;3688;3691;3693;3696;4000;6443;7040;7043;7168;7169;7171;775;782;8516	CACNA1C;CACNB1;DMD;IL6;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LMNA;SGCB;TGFB1;TGFB3;TPM1;TPM2;TPM4	pathway_KEGG
14	hsa05165	Human papillomavirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05165+10013+10379+1277+1278+1282+1284+1291+1292+1293+1298+1311+182+22801+23493+26508+3371+3455+355+3551+3673+3678+3679+3680+3688+3691+3693+3696+3909+3910+3911+3912+3955+4851+4854+51564+5159+5293+5743+595+6773+6934+7057+7058+7059+7132+7148+7297+7472+8323+841+84441+8516+9586+9794	302	54	30.8051994944936	1.75295082927973	1.99009031121022e-05	0.000417493326042973	10013;10379;1277;1278;1282;1284;1291;1292;1293;1298;1311;182;22801;23493;26508;3371;3455;355;3551;3673;3678;3679;3680;3688;3691;3693;3696;3909;3910;3911;3912;3955;4851;4854;51564;5159;5293;5743;595;6773;6934;7057;7058;7059;7132;7148;7297;7472;8323;841;84441;8516;9586;9794	CASP8;CCND1;COL1A1;COL1A2;COL4A1;COL4A2;COL6A1;COL6A2;COL6A3;COL9A2;COMP;CREB5;FAS;FZD6;HDAC6;HDAC7;HEY2;HEYL;IFNAR2;IKBKB;IRF9;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;JAG1;LAMA3;LAMA4;LAMA5;LAMB1;LFNG;MAML1;MAML2;NOTCH1;NOTCH3;PDGFRB;PIK3CD;PTGS2;STAT2;TCF7L2;THBS1;THBS2;THBS3;TNC;TNFRSF1A;TNXB;TYK2;WNT2	pathway_KEGG
15	hsa05144	Malaria	http://www.kegg.jp/kegg-bin/show_pathway?hsa05144+1311+3082+3383+3569+4035+4615+6401+6403+7040+7043+7057+7058+7059+7412+958	45	15	4.59017873262322	3.26784660766962	2.10147647337067e-05	0.000417493326042973	1311;3082;3383;3569;4035;4615;6401;6403;7040;7043;7057;7058;7059;7412;958	CD40;COMP;HGF;ICAM1;IL6;LRP1;MYD88;SELE;SELP;TGFB1;TGFB3;THBS1;THBS2;THBS3;VCAM1	pathway_KEGG
16	hsa05146	Amoebiasis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05146+1277+1278+1281+1282+1284+1437+2769+2776+3554+3569+3909+3910+3911+3912+5272+5293+5331+7040+7043+7414+7850+81+87	92	23	9.38436540891858	2.45088495575221	3.24687711348304e-05	0.000604730862386216	1277;1278;1281;1282;1284;1437;2769;2776;3554;3569;3909;3910;3911;3912;5272;5293;5331;7040;7043;7414;7850;81;87	ACTN1;ACTN4;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;CSF2;GNA15;GNAQ;IL1R1;IL1R2;IL6;LAMA3;LAMA4;LAMA5;LAMB1;PIK3CD;PLCB3;SERPINB9;TGFB1;TGFB3;VCL	pathway_KEGG
17	hsa04810	Regulation of actin cytoskeleton	http://www.kegg.jp/kegg-bin/show_pathway?hsa04810+10398+2149+2246+2261+22801+2846+2934+3673+3678+3679+3680+3688+3691+3693+3696+3984+4627+4628+4638+4660+5154+5156+5159+5293+54434+54961+6237+6387+6714+7074+7114+7414+81+8516+87+8817+8874+9138+9475	199	39	20.2987903953782	1.92129674923289	3.73684281325115e-05	0.000655046563734614	10398;2149;2246;2261;22801;2846;2934;3673;3678;3679;3680;3688;3691;3693;3696;3984;4627;4628;4638;4660;5154;5156;5159;5293;54434;54961;6237;6387;6714;7074;7114;7414;81;8516;87;8817;8874;9138;9475	ACTN1;ACTN4;ARHGEF1;ARHGEF7;CXCL12;F2R;FGF1;FGF18;FGFR3;GSN;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LIMK1;LPAR4;MYH10;MYH9;MYL9;MYLK;PDGFA;PDGFRA;PDGFRB;PIK3CD;PPP1R12B;ROCK2;RRAS;SRC;SSH1;SSH3;TIAM1;TMSB4X;VCL	pathway_KEGG
18	hsa05166	Human T-cell leukemia virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05166+1030+109+112+113+1437+196883+2005+2113+2114+23373+2353+3383+3551+3554+3569+4088+4214+4215+4487+4609+467+4772+4791+5154+5156+5159+5293+595+6237+6929+7040+7043+7094+7132+7412+7472+7538+7850+8061+8323+8829+9020+94241+958	243	44	24.7869651561654	1.77512655231436	8.85802840100425e-05	0.00146649581305515	1030;109;112;113;1437;196883;2005;2113;2114;23373;2353;3383;3551;3554;3569;4088;4214;4215;4487;4609;467;4772;4791;5154;5156;5159;5293;595;6237;6929;7040;7043;7094;7132;7412;7472;7538;7850;8061;8323;8829;9020;94241;958	ADCY3;ADCY4;ADCY6;ADCY7;ATF3;CCND1;CD40;CDKN2B;CRTC1;CSF2;ELK4;ETS1;ETS2;FOS;FOSL1;FZD6;ICAM1;IKBKB;IL1R1;IL1R2;IL6;MAP3K1;MAP3K14;MAP3K3;MSX1;MYC;NFATC1;NFKB2;NRP1;PDGFA;PDGFRA;PDGFRB;PIK3CD;RRAS;SMAD3;TCF3;TGFB1;TGFB3;TLN1;TNFRSF1A;TP53INP1;VCAM1;WNT2;ZFP36	pathway_KEGG
19	hsa04014	Ras signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04014+115727+1942+1969+2113+2114+2246+2261+23179+2549+27+2784+284+3082+3480+3481+3551+4908+5154+5156+5159+5293+5321+5322+5335+5338+5900+5922+5923+59345+5966+6237+627+6464+7010+7074+8817+9462+9610+9771	209	39	21.3188301137389	1.82936867510691	0.000115244803516656	0.00180752376041914	115727;1942;1969;2113;2114;2246;2261;23179;2549;27;2784;284;3082;3480;3481;3551;4908;5154;5156;5159;5293;5321;5322;5335;5338;5900;5922;5923;59345;5966;6237;627;6464;7010;7074;8817;9462;9610;9771	ABL2;ANGPT1;BDNF;EFNA1;EPHA2;ETS1;ETS2;FGF1;FGF18;FGFR3;GAB1;GNB3;GNB4;HGF;IGF1R;IGF2;IKBKB;NTF3;PDGFA;PDGFRA;PDGFRB;PIK3CD;PLA2G4A;PLA2G5;PLCG1;PLD2;RALGDS;RAPGEF5;RASA2;RASAL2;RASGRF1;RASGRP4;REL;RGL1;RIN1;RRAS;SHC1;TEK;TIAM1	pathway_KEGG
20	hsa05202	Transcriptional misregulation in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05202+1025+1437+1655+1848+2005+2078+2115+2120+2521+26471+3480+3569+4609+5154+5327+5328+5371+5914+5966+604+64332+6495+6929+6935+7185+7850+8013+8091+84444+860+861+862+905+958	174	34	17.7486910994764	1.91563421828909	0.000125230064540571	0.00186592796165451	1025;1437;1655;1848;2005;2078;2115;2120;2521;26471;3480;3569;4609;5154;5327;5328;5371;5914;5966;604;64332;6495;6929;6935;7185;7850;8013;8091;84444;860;861;862;905;958	BCL6;CCNT2;CD40;CDK9;CSF2;DDX5;DOT1L;DUSP6;ELK4;ERG;ETV1;ETV6;FUS;HMGA2;IGF1R;IL1R2;IL6;MYC;NFKBIZ;NR4A3;NUPR1;PDGFA;PLAT;PLAU;PML;RARA;REL;RUNX1;RUNX1T1;RUNX2;SIX1;TCF3;TRAF1;ZEB1	pathway_KEGG
21	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05412+1756+22801+2697+3673+3678+3679+3680+3688+3691+3693+3696+4000+6443+6934+775+782+8516	66	17	6.73226214118072	2.52515419683561	0.000233991720377968	0.00332045393679212	1756;22801;2697;3673;3678;3679;3680;3688;3691;3693;3696;4000;6443;6934;775;782;8516	CACNA1C;CACNB1;DMD;GJA1;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LMNA;SGCB;TCF7L2	pathway_KEGG
22	hsa04270	Vascular smooth muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04270+10335+10398+109+112+113+147+1909+196883+2776+3779+4629+4638+4660+4882+5321+5322+5331+5739+59+775+9138+9475	98	22	9.99638923993501	2.20079465414484	0.000264516194623976	0.00349543868576478	10335;10398;109;112;113;147;1909;196883;2776;3779;4629;4638;4660;4882;5321;5322;5331;5739;59;775;9138;9475	ACTA2;ADCY3;ADCY4;ADCY6;ADCY7;ADRA1B;ARHGEF1;CACNA1C;EDNRA;GNAQ;KCNMB1;MRVI1;MYH11;MYL9;MYLK;NPR2;PLA2G4A;PLA2G5;PLCB3;PPP1R12B;PTGIR;ROCK2	pathway_KEGG
23	hsa04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?hsa04610+10544+1191+2149+2151+2152+2153+3075+3426+5054+5327+5328+5329+7035+7056+710+715+716+721+730	79	19	8.05831377504965	2.35781337515403	0.000269782180444933	0.00349543868576478	10544;1191;2149;2151;2152;2153;3075;3426;5054;5327;5328;5329;7035;7056;710;715;716;721;730	C1R;C1S;C4B;C7;CFH;CFI;CLU;F2R;F2RL2;F3;F5;PLAT;PLAU;PLAUR;PROCR;SERPINE1;SERPING1;TFPI;THBD	pathway_KEGG
24	hsa04926	Relaxin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04926+109+112+113+1277+1278+1281+1282+1284+1388+1906+196883+2353+2769+2771+2784+4088+4313+4846+5293+5331+59+59345+6464+6714+7040+9586	126	26	12.852500451345	2.02295266189072	0.00031959785963076	0.00382556070932606	109;112;113;1277;1278;1281;1282;1284;1388;1906;196883;2353;2769;2771;2784;4088;4313;4846;5293;5331;59;59345;6464;6714;7040;9586	ACTA2;ADCY3;ADCY4;ADCY6;ADCY7;ATF6B;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;CREB5;EDN1;FOS;GNA15;GNAI2;GNB3;GNB4;MMP2;NOS3;PIK3CD;PLCB3;SHC1;SMAD3;SRC;TGFB1	pathway_KEGG
25	hsa04350	TGF-beta signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04350+1030+10468+1634+3624+3625+4052+4088+4092+4609+4681+57154+64750+652+659+7040+7043+7050+7057+8646	80	19	8.16031774688572	2.3283407079646	0.000320936301117958	0.00382556070932606	1030;10468;1634;3624;3625;4052;4088;4092;4609;4681;57154;64750;652;659;7040;7043;7050;7057;8646	BMP4;BMPR2;CDKN2B;CHRD;DCN;FST;INHBA;INHBB;LTBP1;MYC;NBL1;SMAD3;SMAD7;SMURF1;SMURF2;TGFB1;TGFB3;TGIF1;THBS1	pathway_KEGG
26	hsa04015	Rap1 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04015+109+112+113+1942+196883+1969+2149+2246+2261+23683+2771+2776+284+2846+3082+3480+3688+5154+5156+5159+5293+5331+5335+5900+6237+64411+6714+7010+7057+7074+7094+7408+8817+9732+9771	196	35	19.99277847987	1.75063211125158	0.000609350810824694	0.00679460935535866	109;112;113;1942;196883;1969;2149;2246;2261;23683;2771;2776;284;2846;3082;3480;3688;5154;5156;5159;5293;5331;5335;5900;6237;64411;6714;7010;7057;7074;7094;7408;8817;9732;9771	ADCY3;ADCY4;ADCY6;ADCY7;ANGPT1;ARAP3;DOCK4;EFNA1;EPHA2;F2R;FGF1;FGF18;FGFR3;GNAI2;GNAQ;HGF;IGF1R;ITGB1;LPAR4;PDGFA;PDGFRA;PDGFRB;PIK3CD;PLCB3;PLCG1;PRKD3;RALGDS;RAPGEF5;RRAS;SRC;TEK;THBS1;TIAM1;TLN1;VASP	pathway_KEGG
27	hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+1277+1278+1281+1282+1284+1289+1290+1291+1292+1293+1294+1298+1300+2006+50509+80781	65	16	6.63025816934465	2.41317903335602	0.000615618968438536	0.00679460935535866	1277;1278;1281;1282;1284;1289;1290;1291;1292;1293;1294;1298;1300;2006;50509;80781	COL10A1;COL18A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A1;COL6A2;COL6A3;COL7A1;COL9A2;ELN	pathway_KEGG
28	hsa04022	cGMP-PKG signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04022+10105+10335+10398+109+112+113+1388+147+150+1909+196883+2771+2776+3779+4638+4772+4846+4882+493+5139+5331+5350+5997+7408+775+8654+9475+9586	147	28	14.9945838599025	1.86734091866835	0.000749997100548683	0.00798211199869669	10105;10335;10398;109;112;113;1388;147;150;1909;196883;2771;2776;3779;4638;4772;4846;4882;493;5139;5331;5350;5997;7408;775;8654;9475;9586	ADCY3;ADCY4;ADCY6;ADCY7;ADRA1B;ADRA2A;ATF6B;ATP2B4;CACNA1C;CREB5;EDNRA;GNAI2;GNAQ;KCNMB1;MRVI1;MYL9;MYLK;NFATC1;NOS3;NPR2;PDE3A;PDE5A;PLCB3;PLN;PPIF;RGS2;ROCK2;VASP	pathway_KEGG
